SongID,ArtistID
SOMZWCG12A8C13C480,ARD7TVE1187B99BFB1
SOCIWDW12A8C13D406,ARMJAGH1187FB546F3
SOXVLOJ12AB0189215,ARKRRTF1187B9984DA
SONHOTT12A8C13493C,AR7G5I41187FB4CE6C
SOFSOCN12A8C143F5D,ARXR32B1187FB57099
SOYMRWW12A6D4FAB14,ARKFYS91187B98E58F
SOMJBYD12A6D4F8557,ARD0S291187B9B7BF5
SOHKNRJ12A6701D1F8,AR10USD1187B99F3F1
SOIAZJW12AB01853F1,AR8ZCNI1187B9A069B
SOUDSGM12AC9618304,ARNTLGG11E2835DDB9
SOQHXMF12AB0182363,ARGSJW91187B9B1D6B
SOKEJEJ12A8C13E0D0,ARC43071187B990240
SOMUYGI12AB0188633,ARL7K851187B99ACD2
SORAMLE12AB017C8B0,ARHHO3O1187B989413
SOBONFF12A6D4F84D8,ARIK43K1187B9AE54C
SOHUOAP12A8AE488E9,ARD842G1187B997376
SOUQQEA12A8C134B1B,ARIG6O41187B988BDD
SOILPQQ12AB017E82A,AR1ZHYZ1187FB3C717
SOXLBJT12A8C140925,ARYKCQI1187FB3B18F
SOZVMJI12AB01808AF,ARNPAGP1241B9C7FD4
SOWTBJW12AC468AC6E,ARQGYP71187FB44566
SOBEBDG12A58A76D60,ARI3BMM1187FB4255E
SOZCTXZ12AB0182364,AR5KOSW1187FB35FF4
SOBBUGU12A8C13E95D,ARMAC4T1187FB3FA4C
SOBLGCN12AB0183212,AR47JEX1187B995D81
SOPSWQW12A6D4F8781,ARGIWFO1187B9B55B7
SOZQDIU12A58A7BCF6,ARNTLGG11E2835DDB9
SONYPOM12A8C13B2D7,ARDNS031187B9924F0
SOBZBAZ12A6D4F8742,AROUOZZ1187B9ABE51
SOVYKGO12AB0187199,ARH4Z031187B9A71F2
SOGNCJP12A58A80271,ARB29H41187B98F0EF
SOLLHMX12AB01846DC,AR1Y2PT1187FB5B9CE
SOYTPEP12AB0180E7B,ARAJPHH1187FB5566A
SOGXHEG12AB018653E,AR0RCMP1187FB3F427
SOOLYAZ12A6701F4A6,AREBBGV1187FB523D2
SOGOSOV12AF72A285E,ARGUVEV1187B98BA17
SOJXVAH12A8C139700,ARPQ4Z01187FB3A736
SOVXMTN12A8C135A18,ARNQAVF11F4C844C04
SORSECL12AB0182267,ARXUT4W1187FB48BEB
SOOGFBZ12AC3DF7FF2,ARDD1RC1187B9B52B4
SOMSBGZ12AB018C4CB,ARLGWFM1187FB4AC9F
SONYRZV12AB018AF70,ARWYVP51187B98C516
SONQBUB12A6D4F8ED0,ARFCUN31187B9AD578
SOHGKJW12AC468A8BD,AR6YDKV1187B989230
SOINBCU12A6D4F94C0,ARV1JVD1187B9AD195
SOTWVQT12A58A79650,AR7TTS41187B9B42D3
SOTSEJY12AB0180F56,ART3O5Z1187B9AB043
SOTSETT12AB01863B8,AR5U94U1187FB5CDCF
SOTUNMH12A6D4FA3E6,ARRJNTE1187FB44E12
SOEPPKB12AB018418B,AR6IRG41187B9A4D98
SOGKIWV12A6D4F86C4,ARS1OWB1187B99EEAD
SOPHYIS12AAF3B35A3,ARGMXQW1187FB54C34
SOFHBAR12A6701D0FE,AROEL1B1187B988B90
SOCPRKM12AB018A2FD,AR8W8DN1187FB35ED0
SOFGHAM12AB0186412,ARUWLCL1187FB549B8
SODHVES12A6701CE6B,AR3793X1187FB50CB3
SOXIATP12AAF3B2184,ARINEWW1187FB5577E
SOGNQWU12A8AE4868F,ARDGB6U1187FB3AD07
SOYQOFI12A6D4F76E1,AR2J2WF1187FB46271
SOVOLGY12A6D4F822B,ARUI8651187B9ACF52
SOMZCVH12AB0182B8E,AR89DTT1187B9A7ED5
SONXJBL12AAF3B2C0C,ARMD0G81187B99A519
SOYWZTU12AB0180E26,AR0VZWC1187B99BA57
SOLGHDZ12AB0183B11,ARF2EHS1187B994F4E
SOTNTNJ12AAA15FBD6,ARZKRD01187FB45FD2
SOXZXXV12AAF3B3A67,ARK4H5K1187B992F74
SOPIKEG12A58291636,AR06EB01187FB40150
SOIRNBO12AC468D207,ARKPDBH1242077DEB1
SOSBDSF12AB0189007,ARBJSO81187B9BA09B
SOIJXXM12A8C1416D6,ARRC2JF1187B9B6A93
SOHMMMC12AB0181C42,ARNIFX51187FB418EA
SOVJXVJ12A8C13517D,ARCCRTI11F4C845308
SOFZCTA12AB0188D8F,ARNVH8S1187FB52F86
SOLRYQR12A670215BF,ARNLO5S1187B9B80CC
SOCHRXB12A8AE48069,ARTDQRC1187FB4EFD4
SOKBBXO12A6701DEA0,ARK9TRQ1187B99C095
SOWHYUG12A58A77FAB,ARODBRG1187FB3FD99
SOYSTDI12A6D4F6500,ARMBYRO1187FB57419
SOOOROX12A6D4F8400,ARWY7I71187FB36C3D
SONSPZE12AB01819CE,AR6Y22S1187B99906F
SOHWGFU12AB017B036,ARI5P4N1187FB3F44D
SOQQVQJ12AB0185192,ARYPWUK1187B98ACED
SODRHHD12AB0189F2A,ARW63KF1187B98AC48
SOQGFVO12A8C13C8C3,AR8H87D1187FB3A841
SORABMD12A8C136672,ARLWR721187B9A03C9
SOTUBVH12AB018D2EC,ARF4V431187FB3AA41
SOMQAGT12A8C132DB4,ARBGWMW1187B9AEA3E
SOKLLOH12A67020F2C,AR6G4V01187B9AD086
SONRLQH12AB017C232,ARVQ4QM1187B98AD95
SODDZAD12A6701DC4C,AR9AM2N1187B9AD2F1
SORENXV12A6701F61F,AR9XEVF1187B99D017
SOYMMDY12AB01825B2,ARCFOZ71187FB43A0D
SOJWQIP12A6D4F710A,ARHFEBO11F50C4825A
SOOVOKS12AB017EE57,AR107SB1187B9A79F9
SORWHWY12A6702038E,ARXWAQQ1187B9AE954
SOGYYLE12A8C13E5EA,ARL6XZC1187FB3936E
SOITUXQ12AB0183AE9,ARSDSMG1187B98CB59
SOTWEZZ12A8C142B60,AR3WMW01187B9921F7
SOUVRGZ12A58A77F90,AR3C3C01187B98E800
SOBLTSM12A6D4F9EEA,ARDD9UN1187B98D3A7
SOUQVUD12A8C142DCE,ARJGNV61187B98F3B5
SOCRPDR12AB0185B75,ARSVI4L1187B996181
SOXVBVL12AF72A600C,ARVJ0JK1187B98C9C0
SOIQHDR12AB01896C8,AR4PCIG1187B98D07D
SODLSHA12AAF3B29F2,AR1RHCO1187B9AF0BF
SOAGHMH12AB0180285,AR1X2H01187B98CCF2
SORAVUP12AB018556E,ARBQBZV1187B99D29E
SOFXNQP12AB0184F1A,AR9ODB41187FB459B2
SOGQTRZ12A8C13C8B0,ARF3GX71187FB3EB66
SOBHVZQ12AC9618285,AR3PN3R1187FB4CEBD
SOYPBCY12AB0181EF3,ARYWCFZ11E2835CFDD
SOWRLSY12AC4687694,ARUT16P1187FB532A4
SOOGQWR12A8C142505,AREOGMA1187B9908EF
SOJDYQY12AB0188C97,AR4ABL21187FB3913A
SOBHQUF12AB018B03E,AR8YV1I1187FB45D2B
SOFRAZJ12A8C143CDB,ARR9XGB1187B9912E6
SONNDHT12A8C13F20B,ARBKUS51187B98A3AC
SOYZOXW12A8C13E195,ARTB5PP1187FB523B7
SOSGJTX12AB0181F7C,ARXFQDY1187B9AAF1E
SOBQBWP12AB018611B,ARVEJ9M1187FB4DC44
SODULLV12AB017FA09,ARTHEAP122BCFCD0B2
SOYAGJM12A8C13DCCE,ARQESNI1187FB511EE
SORXUZZ12A8AE4798A,ARCZ20M1187FB49687
SOCHXAE12AF72A25D6,ARDF8K01187FB37200
SOCRHCQ12A58A7C8C6,AR11NP91187B9901B4
SOSEJIQ12AB017E7EB,ARBZAIL1187FB5B1C8
SOMXWXQ12AC3DFA002,ARWXHRS1241B9C7A1E
SOGMXBW12A6D4FB8D7,ARV1P811187FB3CFC6
SOOPUTF12AB018DFAA,ARIU0MA1187B98D36F
SOFDTRZ12AB018DD11,ARB4D891187B9954F7
SOOGNJP12A8C1381AD,ARQOC971187B9910FA
SOFUBCP12A8C13D5EF,AR19SOA1187B98F6E6
SOVZBDR12A6702012E,ARTDBI61187FB48479
SOPWKSS12AC468E659,ARSE6YI1187B9B9CD2
SOCCQIQ12A8C13C76B,AR6C8EJ1187FB3F473
SODBMZD12A8C134232,AROI96Z1187B9A5304
SOBUWPY12A8C1446C0,ARIOSKN1257509BCE1
SORWXUP12A58A79E65,ARI0PUX1187FB3F215
SOJEVZW12A8C133988,ARYO9BU1187B9ADA88
SOOODKC12AB018462F,ARZ507V1187FB4425E
SODOLVO12B0B80B2F4,AR6XPWV1187B9ADAEB
SOEHWGF12A6D4F8B2B,AR6PJ8R1187FB5AD70
SOOZLTC12A6D4FBE91,AR4CG3B1187FB5B861
SOOSYMY12AB01888CD,AR7BMMV1187FB5B2D7
SOPBKEB12A6D4FD777,AREYIHC1187B99CE0B
SOEWQYW12AB0183FDE,AREEMIN11F4C848971
SOFBQIA12AB0182219,ARBJSO81187B9BA09B
SOHDDHR12AB0183552,ARBGJLS11F4C83D4B9
SONWQQX12AC3DF6762,ARVNDLR1187B99CA1B
SOGXFIF12A58A78CC4,AR5LZJD1187FB4C5E5
SOIPNSZ12A8C144128,AR3WMW01187B9921F7
SOEXSIN12A8C133B0A,ARAEX7Y1187FB42D36
SOTSMNJ12AB018365E,ARK2G5U1187FB46B34
SOLGRUN12A8C140543,ARTB56G11C8A41569D
SOQCHGV12AC4688FC6,AR0GGKI1187FB391D5
SOXCWTT12AC9075756,ARZEWUR1187FB53DC8
SOAFIPD12A8C13A261,AR89DTT1187B9A7ED5
SOMJPML12A8C13D74E,ARTHKKA122BCFCBF58
